 ,Greedy,Weighted-A*,A*,Dijkstras, ,Greedy,Weighted-A*,A*,Dijkstras
Time:,1.1304457187652588,1.5206177234649658,3.0440545082092285,3.140294075012207,Traffic:,313,228,196,198
Time:,1.2219858169555664,1.654878854751587,3.1414315700531006,3.2496438026428223,Traffic:,193,193,193,193
Time:,1.2847156524658203,1.7395298480987549,3.195302724838257,3.3049778938293457,Traffic:,189,189,184,184
Time:,1.3252649307250977,1.7828998565673828,3.298623561859131,3.4190189838409424,Traffic:,158,158,158,158
Time:,1.359036922454834,1.8138458728790283,3.3630337715148926,3.484992027282715,Traffic:,103,103,103,103
Time:,1.4149539470672607,1.8742408752441406,3.49641752243042,3.6127419471740723,Traffic:,174,174,168,168
Time:,0.001405954360961914,0.0014560222625732422,0.0014269351959228516,0.001405954360961914,Traffic:,4,4,4,4
Time:,0.010065793991088867,0.014405965805053711,0.009168148040771484,0.008775949478149414,Traffic:,33,33,33,33
Time:,0.03625178337097168,0.05294179916381836,0.0525054931640625,0.05258297920227051,Traffic:,68,61,61,61
Time:,0.06565070152282715,0.0847177505493164,0.0973055362701416,0.10715889930725098,Traffic:,113,97,97,97
Time:,0.10184669494628906,0.1250145435333252,0.15634369850158691,0.16472697257995605,Traffic:,99,99,99,99
Time:,0.12506771087646484,0.1485288143157959,0.19064879417419434,0.19279098510742188,Traffic:,60,60,60,60
Time:,0.16198062896728516,0.19296884536743164,0.2744107246398926,0.29160475730895996,Traffic:,167,167,162,162
Time:,0.32028675079345703,0.46173787117004395,0.6363816261291504,0.656998872756958,Traffic:,387,383,383,383
Time:,0.6531298160552979,0.8669517040252686,1.9697608947753906,2.054396867752075,Traffic:,671,599,589,588
Time:,0.6716077327728271,0.885995626449585,2.007009744644165,2.0917110443115234,Traffic:,62,62,62,62
Time:,1.1589267253875732,1.446446418762207,3.170984983444214,3.2695891857147217,Traffic:,388,248,232,232
Time:,1.2472724914550781,1.5303046703338623,3.2641031742095947,3.362683057785034,Traffic:,198,198,198,198
Time:,1.293663501739502,1.5789947509765625,3.3215410709381104,3.422720193862915,Traffic:,235,235,234,234
Time:,1.3341655731201172,1.6355798244476318,3.4065818786621094,3.507843255996704,Traffic:,194,194,177,177
Time:,1.358440637588501,1.6606080532073975,3.461439847946167,3.562284231185913,Traffic:,104,104,104,104
Time:,1.4038176536560059,1.708038330078125,3.5516107082366943,3.661161184310913,Traffic:,174,174,160,160
Time:,0.00152587890625,0.0015430450439453125,0.0013260841369628906,0.0012390613555908203,Traffic:,15,15,15,15
Time:,0.009071826934814453,0.008801937103271484,0.008250236511230469,0.008723258972167969,Traffic:,40,40,40,40
Time:,0.03563070297241211,0.04175090789794922,0.05188941955566406,0.053713083267211914,Traffic:,77,59,59,60
Time:,0.06516766548156738,0.0741729736328125,0.09732627868652344,0.09838414192199707,Traffic:,150,108,98,98
Time:,0.09309887886047363,0.10007405281066895,0.14616107940673828,0.15520286560058594,Traffic:,89,89,89,89
Time:,0.12163805961608887,0.12362504005432129,0.18034100532531738,0.18186283111572266,Traffic:,55,55,55,55
Time:,0.21519923210144043,0.2169969081878662,0.2989330291748047,0.28391480445861816,Traffic:,139,139,136,136
Time:,0.3436729907989502,0.37932300567626953,0.643061637878418,0.6571309566497803,Traffic:,358,330,320,320
Time:,0.6631238460540771,0.7845520973205566,2.10538387298584,2.2505321502685547,Traffic:,680,593,579,580
Time:,0.6822319030761719,0.807542085647583,2.152411699295044,2.2972960472106934,Traffic:,84,84,84,84
Time:,1.1709539890289307,1.396003007888794,3.282683849334717,3.448686122894287,Traffic:,372,234,212,212
Time:,1.25606107711792,1.4972271919250488,3.377690076828003,3.541895866394043,Traffic:,208,208,208,208
Time:,1.3010320663452148,1.5434792041778564,3.4308242797851562,3.5974478721618652,Traffic:,197,197,197,197
Time:,1.3418118953704834,1.5912210941314697,3.517301321029663,3.6865899562835693,Traffic:,183,183,172,172
Time:,1.3663148880004883,1.6157691478729248,3.5699334144592285,3.743295907974243,Traffic:,92,92,92,92
Time:,1.4135808944702148,1.6632630825042725,3.6603565216064453,3.8415329456329346,Traffic:,178,178,172,172
Time:,0.0016388893127441406,0.0013720989227294922,0.0013802051544189453,0.0012998580932617188,Traffic:,4,4,4,4
